corridor,orders,gmv,mean_distance_km,late_orders,late_rate,severe_late_orders,severe_late_rate,low_reviews,low_review_rate,median_delay_days,median_duration_days,order_share_pct,dissatisfaction_share_pct
SC -> SC,255,51214.01,147.05466713756005,16,6.2745098039215685,9,3.5294117647058822,22,8.627450980392156,-11.22,6.84,0.26611287360160296,0.17926988265971316
MG -> ES,167,24041.79,517.9814786697033,7,4.191616766467066,5,2.9940119760479043,22,13.17365269461078,-13.06,13.24,0.174277842711638,0.17926988265971316
SC -> PR,283,49637.79,329.4774647360779,9,3.180212014134275,4,1.4134275618374559,21,7.420494699646643,-13.21,9.72,0.2953331107029554,0.1711212516297262
PR -> DF,151,33229.47,1041.8928848524624,6,3.9735099337748347,3,1.9867549668874174,19,12.582781456953644,-13.34,11.93,0.15758056436800802,0.15482398956975227
MG -> GO,148,23869.01,633.6214853874064,4,2.7027027027027026,4,2.7027027027027026,18,12.162162162162163,-12.485,12.57,0.1544498246785774,0.14667535853976532
SP -> RO,168,34238.92,2191.7465581003516,5,2.976190476190476,3,1.7857142857142856,17,10.119047619047619,-19.77,18.015,0.17532142260811487,0.13852672750977837
DF -> MG,103,14430.49,602.1417469883945,1,0.9708737864077669,0,0.0,17,16.50485436893204,-15.99,8.22,0.10748872933711805,0.13852672750977837
MG -> DF,184,36079.35,603.9356193738412,6,3.260869565217391,5,2.717391304347826,15,8.152173913043478,-12.735,10.835,0.19201870095174486,0.12222946544980444
RJ -> BA,133,30246.760000000002,1187.4777032568736,14,10.526315789473683,13,9.774436090225564,15,11.278195488721805,-11.19,14.23,0.1387961262314243,0.12222946544980444
BA -> SP,136,77668.9,1421.0236859660463,7,5.147058823529411,4,2.941176470588235,14,10.294117647058822,-12.600000000000001,9.84,0.1419268659208549,0.11408083441981746
PR -> ES,107,19693.04,1191.301875271704,9,8.411214953271028,8,7.476635514018691,14,13.084112149532709,-13.1,15.51,0.11166304892302555,0.11408083441981746
RS -> RS,288,61056.55,146.69142466587525,15,5.208333333333334,8,2.7777777777777777,12,4.166666666666666,-10.865,5.93,0.3005510101853398,0.09778357235984356
MG -> PE,110,16415.4,1695.7863407106292,9,8.181818181818182,7,6.363636363636363,12,10.909090909090908,-15.245000000000001,14.295,0.11479378861245616,0.09778357235984356
