dominant_seller,order_count,total_gmv,seller_state,mean_freight,mean_review,low_review_rate,eligible_deliveries,late_delivery_rate,mean_delay_days,late_rate_pct,low_review_rate_pct,statistically_reliable
3e51f9cbe317bc3a88f2c76583811ee4,1,84.78,SP,8.69,5.0,0.0,1,0.0,-5.11,0.0,0.0,False
3e8bd881d92466e63ba9e3e809cd3c50,9,2450.25,RJ,23.107777777777777,4.125,0.1111111111111111,8,0.375,-7.87,37.5,11.11111111111111,False
3ea00e1dea2b0659dbaf654735929220,7,649.97,PR,20.71,4.857142857142857,0.0,7,0.0,-19.62,0.0,0.0,False
3ea08c48e851106d2f584349daba335f,1,192.94,MG,22.94,4.0,0.0,1,0.0,-15.09,0.0,0.0,False
3ef37b7ca6dd2b80bd8af81a62504996,2,740.97,SP,20.485,4.5,0.0,2,0.0,-7.415,0.0,0.0,False
3f0e48d209018b466fcd3bb4ccfeb520,9,5654.8,PR,28.42222222222222,3.888888888888889,0.2222222222222222,9,0.0,-15.966666666666665,0.0,22.22222222222222,False
3f2af2670e104d1bcb54022274daeac5,6,1334.18,PR,60.09666666666667,3.3333333333333335,0.3333333333333333,6,0.16666666666666663,-18.849999999999998,16.666666666666664,33.33333333333333,False
3f3486b61f45078d4f31ee5e43d8c5bb,40,4726.57,SP,22.421,4.325,0.075,39,0.15384615384615385,-9.59871794871795,15.384615384615385,7.5,True
3f8034bfc6b8b4135534975d49f04c63,12,1594.51,PR,23.38416666666667,3.75,0.25,11,0.0,-17.171818181818182,0.0,25.0,False
3f8247d0f772ffa58560e5c682521ad5,1,158.45000000000002,SC,18.55,3.0,0.0,0,,,,0.0,False
3f84fefc07dc159b268d4a77d3e8c425,3,251.92000000000002,PR,17.106666666666666,5.0,0.0,3,0.0,-19.98,0.0,0.0,False
3f995f07c49d0d55a99d5c54957f7d81,43,4627.2,SP,15.616279069767442,4.209302325581396,0.09302325581395349,43,0.023255813953488413,-11.409767441860465,2.3255813953488413,9.30232558139535,True
3f9be91358837bff69df67edfa3e42e8,7,760.75,PR,20.864285714285717,4.428571428571429,0.14285714285714285,7,0.0,-18.465714285714284,0.0,14.285714285714285,False
3f9c56764fabca627406093dcb3ef0b4,7,1014.95,RJ,15.092857142857142,4.714285714285714,0.0,7,0.0,-10.517142857142858,0.0,0.0,False
3fac58ce0ad699020c7944d53c41329c,9,1491.91,SP,21.104444444444443,4.333333333333333,0.1111111111111111,9,0.2222222222222222,-6.463333333333334,22.22222222222222,11.11111111111111,False
3fadb4cba4c35bce6a7eaf9872d5623a,3,277.52,RS,22.673333333333336,3.3333333333333335,0.3333333333333333,3,0.0,-21.796666666666667,0.0,33.33333333333333,False
3faf68a3b0af94b10bac70d86077be49,7,1442.0900000000001,SP,17.02285714285714,4.571428571428571,0.0,7,0.0,-29.904285714285717,0.0,0.0,False
3fd1e727ba94cfe122d165e176ce7967,36,3281.8,SP,16.15277777777778,3.8333333333333335,0.19444444444444445,34,0.20588235294117652,-8.01264705882353,20.588235294117652,19.444444444444446,True
3fe7120d6257285ac6a3ce7cb071ccec,2,228.26,MG,14.14,3.5,0.0,2,0.0,-15.434999999999999,0.0,0.0,False
3febca52652e7209509ccfe61cbde40e,2,100.9,SP,8.45,2.0,0.5,0,,,,50.0,False
3fefda3299e6dfaea3466ef346a3571a,1,225.21,PR,16.21,4.0,0.0,1,0.0,-17.26,0.0,0.0,False
4003520d80d0bad1d5623f7aa3c63cda,1,86.74,RJ,16.74,1.0,1.0,1,0.0,-4.05,0.0,100.0,False
400f221ab83037c0ea78f1267da9624d,1,885.8,SP,20.8,,0.0,0,,,,0.0,False
402916f742e5c740cc751493d9cf5053,9,1478.43,MG,25.15888888888889,4.666666666666667,0.0,9,0.0,-18.256666666666668,0.0,0.0,False
403aa86912527d730337ffcb0fb096ab,11,9164.509999999998,MG,18.60181818181818,4.0,0.09090909090909091,11,0.0,-11.274545454545454,0.0,9.090909090909092,False
4049512728d969bec69f84088b012416,7,550.27,MG,22.91857142857143,5.0,0.0,7,0.0,-17.745714285714286,0.0,0.0,False
404e1ba01358af4cd63f679b2c4d1fa1,8,551.73,MG,22.228749999999998,5.0,0.0,8,0.0,-15.48875,0.0,0.0,False
40536e7ca18e1bce252828e5876466cc,2,963.0,SP,249.52,1.0,1.0,0,,,,100.0,False
406740ee611378a662d274c7d8c43c4a,8,1972.08,ES,22.76,4.375,0.125,8,0.125,-6.9,12.5,12.5,False
406822777a0b9eb5c50e442dd4cd3ec5,45,4596.34,SP,21.072444444444443,4.295454545454546,0.08888888888888889,44,0.13636363636363635,-10.1175,13.636363636363635,8.88888888888889,True
